year,month,id,group_name
2019,11,3580,Mathematics
2019,12,3880,Mathematics
2020,1,3498,Mathematics
2020,2,3691,Mathematics
2020,3,3882,Mathematics
2020,4,3846,Mathematics
2020,5,3969,Mathematics
2020,6,4260,Mathematics
2020,7,4047,Mathematics
2020,8,3434,Mathematics
2020,9,3809,Mathematics
2020,10,4050,Mathematics
2020,11,3653,Mathematics
2020,12,3946,Mathematics
2021,1,3571,Mathematics
2021,2,3593,Mathematics
2021,3,4072,Mathematics
2021,4,3607,Mathematics
2021,5,3867,Mathematics
2021,6,3880,Mathematics
2021,7,3815,Mathematics
2021,8,3425,Mathematics
2021,9,3731,Mathematics
2021,10,3884,Mathematics
2021,11,2959,Mathematics
1990,1,1,Computer Science
1990,4,1,Computer Science
1991,8,1,Computer Science
1991,11,1,Computer Science
1991,12,1,Computer Science
1992,7,1,Computer Science
1993,8,2,Computer Science
1993,9,1,Computer Science
1993,10,1,Computer Science
1993,11,2,Computer Science
1993,12,1,Computer Science
1994,1,2,Computer Science
1994,2,3,Computer Science
1994,3,1,Computer Science
1994,4,11,Computer Science
1994,5,34,Computer Science
1994,6,43,Computer Science
1994,7,30,Computer Science
1994,8,24,Computer Science
1994,9,20,Computer Science
1994,10,36,Computer Science
1994,11,36,Computer Science
1994,12,11,Computer Science
1995,1,8,Computer Science
1995,2,39,Computer Science
1995,3,26,Computer Science
1995,4,36,Computer Science
1995,5,51,Computer Science
1995,6,27,Computer Science
1995,7,16,Computer Science
1995,8,16,Computer Science
1995,9,6,Computer Science
1995,10,10,Computer Science
1995,11,8,Computer Science
1995,12,12,Computer Science
1996,1,12,Computer Science
1996,2,6,Computer Science
1996,3,11,Computer Science
1996,4,30,Computer Science
1996,5,43,Computer Science
1996,6,35,Computer Science
1996,7,37,Computer Science
1996,8,26,Computer Science
1996,9,12,Computer Science
1996,10,9,Computer Science
1996,11,8,Computer Science
1996,12,8,Computer Science
1997,1,6,Computer Science
1997,2,18,Computer Science
1997,3,10,Computer Science
1997,4,16,Computer Science
1997,5,19,Computer Science
1997,6,31,Computer Science
1997,7,23,Computer Science
1997,8,13,Computer Science
1997,9,17,Computer Science
1997,10,9,Computer Science
1997,11,17,Computer Science
1997,12,12,Computer Science
1998,1,9,Computer Science
1998,2,5,Computer Science
1998,3,6,Computer Science
